trial_id,status,score,final_val_accuracy,final_val_loss,final_accuracy,final_loss,best_step,initial_lr,end_lr,poly_power,xz_units,yl_units,merged_dense1_units,merged_dense2_units,merged_dense3_units,dropout1_rate,dropout2_rate,dropout3_rate,trial_dir
43,COMPLETED,0.7549150586128235,0.7549150586128235,0.5248309671878815,0.7445351779460907,0.5202710628509521,118,0.0003306505106446718,4.437859663443928e-05,2.0,128,128,192,32,64,0.30000000000000004,0.2,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_43
44,COMPLETED,0.7095852792263031,0.7095852792263031,0.5617147088050842,0.7105112969875336,0.5420468747615814,103,0.00020564625576598738,4.6922058476455216e-06,1.0,64,96,256,128,32,0.4,0.4,0.0,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_44
45,COMPLETED,0.7941242158412933,0.7941242158412933,0.47794029116630554,0.7734764814376831,0.4789624959230423,118,0.00019617145132549103,6.0388334626653276e-05,0.5,96,16,128,32,16,0.0,0.1,0.2,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_45
46,COMPLETED,0.9209882020950317,0.9209882020950317,0.2581978440284729,0.9231060147285461,0.22346720099449158,115,0.0017980232644233866,5.5318601129909455e-05,0.5,128,112,256,128,64,0.0,0.1,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_46
47,COMPLETED,0.9174270927906036,0.9174270927906036,0.2572065591812134,0.9132852852344513,0.2491910383105278,117,0.00612678887841257,2.357638138764003e-06,0.5,96,32,256,128,16,0.1,0.2,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_47
48,COMPLETED,0.8832257390022278,0.8832257390022278,0.3173910677433014,0.8786312937736511,0.32729431986808777,111,0.003616758678126393,6.817692403728121e-06,2.5,48,112,128,96,48,0.2,0.30000000000000004,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_48
49,COMPLETED,0.8831886649131775,0.8831886649131775,0.32437577843666077,0.8724901974201202,0.34433305263519287,114,0.000564398111911516,3.3016886876234288e-06,0.5,128,48,256,64,16,0.1,0.1,0.30000000000000004,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_49
50,COMPLETED,0.9128644466400146,0.9128644466400146,0.2778353840112686,0.9024228453636169,0.28780776262283325,118,0.0034070984533815926,5.8453722367238106e-05,0.5,96,16,64,128,32,0.4,0.2,0.4,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_50
51,COMPLETED,0.8914607763290405,0.8914607763290405,0.30231019854545593,0.8854192793369293,0.3042885959148407,117,0.009769117266197471,2.051026678741402e-05,0.5,16,64,64,64,48,0.1,0.2,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_51
52,COMPLETED,0.9074115455150604,0.9074115455150604,0.2665463984012604,0.9074046015739441,0.2556353583931923,113,0.001751567014421111,1.061086175486658e-06,1.0,128,48,192,32,32,0.0,0.0,0.1,/home/youeric/PixelML/smart_pixels_ml/eric_training_models/Model2/ktuner_dir/model2_hyperparameter_search_unsuffled2000/trial_52
