weight_bits,integer_bits,final_train_accuracy,final_val_accuracy,final_train_loss,final_val_loss,auc_score,epochs_trained,n_trials
2,0,0.7968944311141968,0.7986733913421631,0.47042739391326904,0.47614873945713043,0.8355931296645247,120,2
2,1,0.7893069684505463,0.7892240583896637,0.4753418564796448,0.4854528307914734,0.8252007840727875,120,2
3,0,0.7519745826721191,0.7637664079666138,0.5039536505937576,0.5026073455810547,0.8149274852791714,71,2
3,1,0.8132205009460449,0.8203883469104767,0.4340212941169739,0.4272591769695282,0.8578123661856599,120,2
3,2,0.7763502597808838,0.7750685811042786,0.4847632795572281,0.49937500059604645,0.816661635710903,120,2
4,0,0.7440090179443359,0.7408656477928162,0.5071012079715729,0.5247850120067596,0.7944150774296346,120,2
4,1,0.7194820642471313,0.7152597904205322,0.5333820581436157,0.5564682483673096,0.7683345193338851,120,2
4,2,0.7776778638362885,0.7740680277347565,0.48755981028079987,0.5065562427043915,0.8138324237943668,120,2
5,0,0.7097099423408508,0.7150744795799255,0.5376939177513123,0.5571980774402618,0.7740553277599093,120,2
5,1,0.7277753353118896,0.7229674756526947,0.5259560346603394,0.5483457446098328,0.7775551045367357,120,2
5,2,0.7213390171527863,0.7201882600784302,0.5276989936828613,0.5496683418750763,0.7764246020632628,120,2
6,0,0.7983732521533966,0.8026013374328613,0.44937916100025177,0.46132563054561615,0.8473897069536854,102,2
6,1,0.7894245684146881,0.794337809085846,0.46130378544330597,0.46845273673534393,0.8429626642280805,120,2
6,2,0.8227405846118927,0.8194989860057831,0.41716520488262177,0.4321117252111435,0.8563683447072974,120,2
8,0,0.8516452014446259,0.8558882474899292,0.370279923081398,0.37678876519203186,0.885143107520163,120,2
8,1,0.8504940569400787,0.8326168954372406,0.37443388998508453,0.40568915009498596,0.8721619514710373,120,2
8,2,0.8343192040920258,0.8310976028442383,0.39744946360588074,0.41299909353256226,0.8666994957847858,120,2
8,3,0.8484354317188263,0.8484770059585571,0.3816955238580704,0.39095674455165863,0.877446462585594,120,2
8,4,0.8480573296546936,0.8487734496593475,0.38174040615558624,0.3901221305131912,0.8759527136130099,120,2
10,0,0.8463180363178253,0.8403616845607758,0.3905220329761505,0.41219811141490936,0.8610535789003273,120,2
10,2,0.8587453365325928,0.8573704957962036,0.36376461386680603,0.37703046202659607,0.8840556703246201,120,2
10,4,0.8585520684719086,0.8531460464000702,0.3626369535923004,0.3800221383571625,0.880129511705147,120,2
10,6,0.8505277037620544,0.8470688462257385,0.3727979063987732,0.3905858099460602,0.87905607739827,120,2
16,0,0.8683326244354248,0.8636700510978699,0.3440094292163849,0.3597830981016159,0.8960445843522225,120,2
16,4,0.859274685382843,0.8562588095664978,0.36392226815223694,0.38263532519340515,0.8719805534466571,120,2
16,8,0.8606022894382477,0.8548506796360016,0.36184899508953094,0.38175612688064575,0.8786620779308024,120,2
16,12,0.8626525104045868,0.8586674630641937,0.35601410269737244,0.371821328997612,0.8840323080786768,120,2
20,0,0.8364954888820648,0.8312087655067444,0.3970261365175247,0.4178159534931183,0.8591937750653376,120,2
20,5,0.862383633852005,0.8592233061790466,0.35509705543518066,0.3710046112537384,0.8883109524388939,120,2
24,0,0.8618878722190857,0.8576298952102661,0.35911165177822113,0.3769840598106384,0.8781806188008856,120,2
24,6,0.8501915633678436,0.8451048731803894,0.3776991218328476,0.39526642858982086,0.8760256587641733,120,2
32,0,0.8475279808044434,0.8423256278038025,0.3824038803577423,0.40416219830513,0.8653549292948661,120,2
32,8,0.8662992119789124,0.8622248470783234,0.34791749715805054,0.36566875874996185,0.8863558644520377,120,2
32,16,0.8243790566921234,0.8068257570266724,0.4161599725484848,0.4502941519021988,0.8511267932094777,120,2
48,0,0.8560061156749725,0.8507374227046967,0.3657348155975342,0.384220689535141,0.8824333038742511,120,2
48,12,0.8502335846424103,0.8452901542186737,0.37741000950336456,0.3972407430410385,0.8738436049730609,120,2
64,0,0.8687863349914551,0.8639294505119324,0.34266725182533264,0.3598698675632477,0.8970324887037062,120,2
64,16,0.8003730773925781,0.8110872507095337,0.44284743070602417,0.4456423372030258,0.8477397124369452,120,2
96,0,0.8601149618625641,0.8555547297000885,0.36177368462085724,0.38014523684978485,0.8773018012897783,120,2
96,24,0.47981715202331543,0.4445267915725708,0.6931470632553101,0.6931471824645996,0.5,41,2
128,0,0.47981715202331543,0.4445267915725708,0.6931470632553101,0.6931471824645996,0.5,41,2
128,32,0.47981715202331543,0.4445267915725708,0.6931470632553101,0.6931471824645996,0.5,41,2
