weight_bits,activation_bits,val_accuracy
2,2,0.7696583271026611
2,3,0.7894463539123535
2,6,0.7415696978569031
2,8,0.7025865316390991
3,2,0.7890757918357849
3,3,0.7310457229614258
3,6,0.7871488928794861
3,8,0.7247461676597595
6,2,0.7939672470092773
6,3,0.782924473285675
6,6,0.7984880805015564
6,8,0.8142740726470947
8,2,0.7986363172531128
8,3,0.802564263343811
8,6,0.7433484196662903
8,8,0.8043429851531982
